# x y d solution
-7 1 -832 3
-1 -7 428 0
-1 -6 0 312
10 8 704 0
2 -9 242 45
8 -4 -261 0
-4 -9 540 0
10 -3 -773 0
4 -8 0 315
5 3 -937 0
3 1 -982 0
10 7 -936 0
-1 -4 971 0
-4 -5 402 0
-9 2 519 0
4 -4 946 0
6 -3 -565 0
-6 -9 487 0
1 8 -490 3
-8 -6 -68 0
5 6 -197 0
2 -6 301 0
-4 2 -108 0
-5 7 122 0
-2 -4 -178 0
4 3 488 0
-5 0 480 0
-6 2 -322 0
-1 -7 -252 45
-8 7 -277 0
9 -7 -10 0
1 -7 125 0
7 1 823 0
-5 5 979 0
-7 -8 439 0
-2 -8 -889 0
-10 1 0 312
-8 8 853 0
9 -4 -192 0
-5 0 330 0
-2 0 63 0
9 -1 0 312
-10 -6 394 0
-4 10 -888 0
6 10 437 0
1 -5 -368 0
6 3 54 45
-7 -4 -62 0
3 1 83 0
2 7 -225 36
10 -5 945 0
9 -1 745 0
6 4 699 0
-6 -8 -296 0
-9 9 0 348
4 -7 711 0
4 0 -64 84
-2 6 640 3
10 -4 0 312
-2 2 -403 0
2 4 834 0
-8 -1 -739 0
4 6 64 3
-10 -1 844 0
4 3 -4 45
-3 10 -284 0
-7 1 875 0
9 7 577 0
-3 -2 532 0
8 3 773 0
5 -8 -338 3
4 -4 343 0
1 6 -222 0
-7 -10 603 0
10 5 -375 36
0 9 -311 0
7 2 486 0
10 6 -109 0
0 9 -485 0
1 4 951 0
-1 6 260 0
-5 -7 539 0
2 1 -124 0
6 -5 209 0
-9 -2 -441 45
-9 -6 -815 0
-10 5 0 315
9 1 127 0
5 2 -867 0
-9 1 800 36
-10 -8 -32 45
10 -4 775 0
9 -6 548 0
4 8 192 36
-7 10 867 36
-8 2 -291 0
-6 1 2 0
7 8 -86 0
9 -5 729 0
4 -2 -614 0
1 8 -490 3
-4 3 -624 0
8 -8 0 348
-10 -4 -986 0
-3 -7 310 0
-5 2 -259 0
-7 -10 864 0
2 -2 -866 0
-3 1 -264 0
5 -4 577 0
0 5 -422 0
1 -9 498 0
-4 2 -728 0
9 -4 -620 0
-10 10 108 0
-8 -3 -179 0
9 8 -437 0
7 -5 0 312
3 8 -778 0
6 -2 985 0
3 4 10 3
-2 9 -423 0
5 0 962 0
-10 -4 833 0
4 7 -813 0
3 6 34 0
3 -3 -814 0
0 -6 0 357
4 -7 260 0
-5 -7 -86 0
8 5 0 312
7 -8 684 0
1 10 -703 0
-8 10 648 36
6 10 711 0
5 4 5 45
2 -2 32 96
5 -9 37 0
-10 5 0 315
5 3 850 0
4 10 -504 36
4 -6 -679 0
2 5 -602 0
-2 -3 42 0
-4 -3 -3 45
3 7 -208 3
-4 -2 -381 0
-6 2 566 0
3 1 -12 45
-4 9 169 3
10 -10 367 0
5 -7 0 312
10 -10 0 348
1 -10 -861 0
-1 3 0 312
0 -5 712 0
3 -8 532 0
0 -7 -358 0
-6 6 -89 0
-10 6 -142 0
-10 -2 -621 0
0 -4 610 0
-5 10 -420 0
4 3 -985 0
10 -3 591 0
6 -2 -831 0
-6 -5 -891 0
-4 0 -111 0
-3 -7 451 0
-8 2 530 0
4 1 -762 0
3 0 -49 0
-1 8 -179 0
4 7 343 0
2 0 -8 84
-2 -6 181 0
-10 9 58 0
-2 -6 296 0
-1 -7 -997 0
-10 -6 -352 3
0 -6 -216 84
-8 -4 -438 0
-10 6 0 312
-6 -2 160 3
-10 -3 -76 0
-9 -5 -866 0
3 0 380 0
8 6 -182 0
-10 -9 19 36
-2 -8 -659 0
4 -5 -371 0
5 -10 -928 0
-4 4 -950 0
1 -7 763 0
0 -4 -283 0
7 3 112 45
-5 5 812 0
8 -4 -291 0
4 -5 405 45
-9 3 864 36
-5 2 -381 0
2 3 2 45
4 -5 -945 0
-1 8 -96 0
-2 8 600 36
2 -9 605 3
-10 -8 -611 0
1 4 -154 0
5 -1 -779 0
7 -9 908 0
4 2 16 45
-10 -1 -953 0
-9 -1 -633 0
-10 9 -361 36
-4 -1 -45 36
-8 0 -512 84
-1 -4 -837 0
5 2 918 0
3 -4 147 45
5 6 -11 36
10 -8 582 0
8 -9 -173 0
-6 -1 -413 0
2 1 554 0
-2 6 876 0
-1 -2 183 0
2 0 -195 0
-9 -7 -100 3
4 -10 818 0
4 -7 504 0
3 7 755 0
-8 -6 754 0
8 7 15 36
-10 0 224 0
-2 -3 -549 0
-7 8 93 0
10 6 -160 45
-2 -8 360 36
-9 0 705 0
-3 10 507 45
-2 -5 -406 0
6 -1 -452 0
4 -2 -663 0
-1 5 36 45
10 -10 881 0
-3 10 314 0
2 -2 0 348
7 2 729 0
9 5 224 36
9 5 270 0
6 -2 604 0
5 4 9 36
-2 0 16 3
10 -9 296 0
5 -3 -448 3
9 3 -728 0
5 4 -313 0
4 1 -831 0
2 -3 80 0
-1 3 -32 36
-6 -10 -415 0
4 -2 72 81
5 -10 274 0
6 1 433 0
6 -4 0 312
5 -7 314 0
4 10 -314 0
0 9 -409 0
7 8 0 312
-9 8 -989 0
-5 8 845 45
-10 -7 -207 0
2 -6 155 0
0 2 574 0
-7 -5 -76 3
-10 4 616 0
3 2 999 0
-6 -8 -343 0
4 -2 781 0
6 10 -606 0
-9 10 -905 0
6 -1 -236 0
5 8 -706 0
10 -5 425 0
5 -3 -908 0
-9 2 605 3
-8 -7 791 0
6 -9 557 0
-7 -6 -6 45
8 -6 -784 3
-4 -5 -14 3
-2 1 18 45
-8 -10 -552 0
-9 10 59 0
3 -8 605 36
-1 -4 971 0
2 -2 32 96
-3 -2 0 312
9 -1 -900 45
6 -7 -306 0
-8 4 479 0
0 3 -27 84
4 -9 845 36
4 0 -940 0
-3 8 -968 45
8 6 -702 0
2 9 -441 45
-6 8 -168 0
-10 -1 -599 0
-9 8 198 0
3 9 -37 0
5 -7 193 0
0 10 0 357
9 7 517 0
7 3 -112 45
7 3 -160 36
7 4 0 312
3 -9 864 36
-9 3 -203 0
2 -5 590 0
8 0 249 0
-2 1 -474 0
-1 -6 -908 0
2 -1 676 0
-3 2 700 0
-6 -10 444 0
10 7 -82 0
7 -3 100 3
0 -9 -720 0
5 -10 -192 0
1 -8 -453 0
8 0 3 0
5 7 0 312
-5 -8 -162 3
-6 -8 -514 0
0 -2 362 0
-4 -7 99 36
-7 -2 473 0
-8 -1 -895 0
0 -7 -686 3
-6 -7 -651 0
-6 5 -87 0
3 -7 -400 36
3 4 379 0
10 -9 743 0
8 -3 643 0
1 2 -197 0
7 -7 0 348
9 -10 353 0
-10 6 512 3
8 -9 0 312
-5 -4 -92 0
2 -1 -196 0
-3 5 192 45
-8 2 546 0
5 1 -452 0
1 0 -568 0
2 -3 75 45
-10 -3 -415 0
-8 -7 -15 36
4 -4 445 0
-5 7 -794 0
-7 -10 954 0
-9 4 -637 0
10 3 -784 3
-1 4 513 0
-6 -10 512 0
-9 -6 -905 0
8 -5 -452 0
4 -5 -305 0
-7 1 -121 0
9 -3 -864 36
-8 6 -372 0
-8 -7 0 312
-9 -6 54 45
5 3 619 0
2 9 637 3
9 -4 499 0
-2 -9 -61 0
-7 5 -409 0
-5 -6 -424 0
1 5 -366 0
-7 8 482 0
-7 -2 -659 0
-2 10 -535 0
0 -5 -250 3
8 1 974 0
-6 10 -399 0
5 -4 324 45
2 7 -275 3
-7 5 -432 3
-2 -7 449 0
10 -8 -973 0
-8 4 -168 0
-1 1 -443 0
8 -1 221 0
-8 -3 -200 45
-6 -2 -530 0
7 -4 847 45
10 -2 -288 45
7 8 -853 0
1 -1 -883 0
8 3 604 0
6 -6 -899 0
1 -7 -323 0
2 4 -952 0
4 -8 0 315
6 4 855 0
-6 -2 750 0
6 -6 -472 0
3 9 358 0
2 0 -16 3
3 -6 187 0
10 4 -504 36
-7 -1 -533 0
3 9 -540 3
-4 -7 445 0
-3 -10 909 0
-2 8 483 0
-2 -6 -128 36
4 2 16 45
4 -2 -67 0
9 10 13 0
-9 1 -240 0
7 3 -166 0
-4 -6 -16 45
-7 3 -256 0
3 1 397 0
4 -7 -404 0
-5 6 721 0
10 -5 534 0
2 3 -7 3
-3 6 -486 45
6 -2 781 0
-9 -6 -15 0
7 8 815 0
6 4 41 0
-7 -10 420 0
6 9 -108 0
8 -1 648 45
-3 -9 -257 0
-1 4 326 0
-5 3 -320 45
9 -6 -962 0
2 3 -774 0
-6 2 -212 0
-6 4 693 0
10 8 498 0
-6 -4 225 0
6 -1 -196 3
0 -8 13 0
9 -1 514 0
-4 -10 566 0
-6 1 -539 3
-10 -7 -243 3
6 2 160 3
7 1 -939 0
1 0 845 0
4 1 -380 0
-3 7 400 36
7 -1 503 0
9 0 -743 0
0 -5 574 0
2 -10 -864 3
-6 0 -560 0
10 1 -75 0
1 7 288 36
-1 -3 370 0
7 -7 532 0
7 -2 972 3
-3 10 0 312
-5 -4 13 3
-3 8 985 0
6 -8 518 0
2 4 -260 0
6 -9 603 0
7 -5 -48 0
-4 -7 36 45
5 0 -632 0
-7 3 267 0
6 0 376 0
2 -10 0 312
-5 -10 -386 0
-2 -6 775 0
1 5 186 0
-8 5 483 0
3 9 400 0
0 2 -860 0
8 -8 0 348
-1 0 428 0
0 6 693 0
6 -2 276 0
-5 0 553 0
-5 -8 499 0
-3 -4 -4 45
-8 10 483 0
7 -5 637 0
9 10 -162 0
-8 -7 781 0
8 9 -9 45
