a:3002441900,b:4634836572,c:5522351619
a:1,b:1,c:1
a:8680030983,b:13399268458,c:15965066023
a:1,b:1,c:1
a:4,b:6,c:7
a:14587147743,b:22518019697,c:26829947640
a:38055354,b:58745633,c:69994710
a:8833867609,b:13636744367,c:16248015690
a:1358586562,b:2097235148,c:2498830270
a:-1,b:-1,c:0
a:272809183135,b:421132538567,c:501774317241
a:442463306925,b:683025745421,c:813816900097
a:8779192083,b:13552342359,c:16147451720
a:424761886418,b:655700257075,c:781258911809
a:1371,b:2118,c:2523
a:148323355432,b:228965134106,c:272809183135
a:19257472917,b:29727549354,c:35420014876
a:1,b:3,c:2
a:1,b:0,c:0
a:2,b:2,c:1
a:444876402203,b:686750814086,c:818255274279
a:41847732341,b:64599884621,c:76969979832
a:429284706603,b:662682084899,c:789577675070
a:467908548278,b:722305284922,c:860617995501
a:18159007059,b:28031859680,c:33399621173
a:0,b:1,c:0
a:-8330048164,b:-12859003826,c:-15321347257
a:83842668405,b:129427006012,c:154210709520
a:-243,b:-375,c:-447
a:331348698974,b:511499345976,c:609445273381
a:215498031,b:332661944,c:396362675
a:1,b:0,c:0
a:-40313134,b:-62230942,c:-74147413
a:2664,b:4112,c:4900
a:0,b:1,c:1
a:27721278799,b:42793033499,c:50987380932
a:778464145976,b:1201706548919,c:1431818793104
a:85,b:131,c:156
a:-125501516464,b:-193735312041,c:-230833276991
a:23837527729,b:36797729645,c:43844049029
a:7,b:12,c:14
a:1,b:1,c:1
a:104639508,b:161530858,c:192462060
a:3883416437,b:5994787286,c:7142716419
a:16,b:26,c:30
a:7046319384,b:10877325813,c:12960201916
a:4799800244,b:7409398900,c:8828209016
a:72083,b:111275,c:132582
a:2055581,b:3173178,c:3780804
a:1,b:1,c:0
a:0,b:1,c:0
a:3,b:4,c:6
a:1482108458,b:2287914543,c:2726022457
a:66410929,b:102517822,c:122148743
a:51372421959,b:79303043334,c:94488615294
a:11094496646,b:17126452574,c:20405960737
a:453494079687,b:700053828135,c:834105654337
a:1,b:0,c:0
a:-1,b:-2,c:-2
a:5839983,b:9015117,c:10741404
a:71761485163,b:110777416181,c:131989949196
a:43844049029,b:67681576758,c:80641778674
a:3289508842,b:5077978656,c:6050350043
a:19737143758,b:30468011961,c:36302267101
a:0,b:1,c:1
a:0,b:1,c:0
a:-24602491883,b:-37978596404,c:-45251037464
a:24222,b:37392,c:44552
a:17480915096,b:26985096567,c:32152415606
a:84631208992,b:130644267451,c:155661061776
a:70920926676,b:109479855279,c:130443921102
a:310735522586,b:479679012069,c:571531731066
a:29122004517,b:44955318401,c:53563717194
a:0,b:1,c:0
a:-3210262507,b:-4955646960,c:-5904593310
a:7,b:11,c:13
a:38046264683,b:58731600765,c:69977990716
a:379473674480,b:585789341901,c:697960903425
a:1,b:1,c:1
a:70041,b:108121,c:128826
a:-10332053,b:-15949475,c:-19003607
a:1396993026,b:2156522785,c:2569470770
a:369565543083,b:570494268327,c:679737008577
a:1,b:0,c:0
a:826065108,b:1275187631,c:1519370613
a:29395152152,b:45376973404,c:54066114022
a:35365194,b:54592862,c:65046734
a:777082504,b:1199573725,c:1429277559
a:1,b:0,c:0
a:3549818139,b:5479815258,c:6529133487
a:1,b:1,c:0
a:12822117585,b:19793362036,c:23583551048
a:501774317241,b:774583500376,c:922906855808
a:496750030257,b:766827563762,c:913665751305
a:36937,b:57020,c:67939
a:1644402594,b:2538446217,c:3024527912
a:12197453387,b:18829074777,c:22434614463
a:20034827277,b:30927542740,c:36849792455
a:-179433695672,b:-276989824516,c:-330030019888
a:1693732912,b:2614596886,c:3115260511
a:1,b:1,c:0
a:-882884669,b:-1362899364,c:-1623878078
a:409213814716,b:631698869620,c:752661549459
a:80641778674,b:124485827703,c:148323355432
a:334090399683,b:515731679236,c:614488047181
a:399076064582,b:616049336123,c:734015319908
a:2,b:3,c:4
a:42618109771,b:65789107795,c:78386924834
a:2,b:3,c:3
a:5073209289,b:7831457440,c:9331086653
a:50448,b:77876,c:92788
a:1,b:1,c:2
a:401216850269,b:619354043467,c:737952838669
a:0,b:1,c:0
a:3831006429,b:5913882532,c:7046319384
a:2180092847,b:3365385375,c:4009815899
a:1269650472,b:1959945483,c:2335251297
a:-33200891,b:-51251851,c:-61065958
a:13,b:20,c:24
a:4,b:5,c:6
a:922906855808,b:1424681173049,c:1697490356184
a:0,b:1,c:0
a:2005626770,b:3096064009,c:3688922755
a:132476816542,b:204503006134,c:243662854040
a:3433472107,b:5300213167,c:6315139770
a:1629585220,b:2515572801,c:2997274513
a:189132894701,b:291962371490,c:347869628200
a:355659788003,b:549028106997,c:654160337437
a:355714635996,b:549112775241,c:654261218623
a:510838277,b:788575437,c:939578078
a:6957798147,b:10740676552,c:12797385977
a:30898944077,b:47698360477,c:56832018592
a:12960201916,b:20006521300,c:23837527729
a:2082876103,b:3215312955,c:3831006429
a:6740266730,b:10404875694,c:12397283324
a:147103277688,b:227081713498,c:270565110300
a:1,b:0,c:1
a:0,b:2,c:2
a:-226215336,b:-349206128,c:-416074870
a:0,b:0,c:1
a:9500501672,b:14665820047,c:17474146894
a:67964398186,b:104915894734,c:125006017411
a:1,b:1,c:1
a:19131150160,b:29532546302,c:35187671101
a:3562351871,b:5499163444,c:6552186615
a:155972922,b:240773687,c:286878931
a:-18599446748,b:-28711761587,c:-34209716057
a:661132,b:1020582,c:1216012
a:0,b:1,c:0
a:1,b:2,c:2
